antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0009,"Borsec sparkling mineral water, 750 ml",P0685,Product P0685,722,3139,1242,0.023172962737105625,0.2300095571838165,5.770054567774694,3297.5326337865354,0.0,0.0,0.32532447226367084,True
P0537,Product P0537,P0072,"French fries, 180 g",716,1610,5580,0.02298038963956735,0.44472049689440996,2.4831821723546827,814.7825269502881,3.2969329269038877e-179,7.653093240962003e-178,0.1617122934076025,True
P0072,"French fries, 180 g",P0537,Product P0537,716,5580,1610,0.02298038963956735,0.12831541218637993,2.4831821723546827,814.7825269502881,3.2969329269038877e-179,7.653093240962003e-178,0.1617122934076025,True
P0018,"Hot pepper, 1 pc.",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",699,2461,5898,0.02243476586320891,0.284030881755384,1.5004323809515936,156.25189977311385,7.457996162756411e-36,2.372208108911733e-35,0.0708165615464213,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0018,"Hot pepper, 1 pc.",699,5898,2461,0.02243476586320891,0.1185147507629705,1.5004323809515936,156.25189977311385,7.457996162756411e-36,2.372208108911733e-35,0.0708165615464213,True
P0007,Product P0007,P0072,"French fries, 180 g",697,2157,5580,0.02237057483069615,0.3231339823829393,1.8042805536030895,327.04499961441235,4.23057148403799e-73,3.227659782577236e-72,0.10245329717335519,True
P0072,"French fries, 180 g",P0007,Product P0007,697,5580,2157,0.02237057483069615,0.12491039426523297,1.8042805536030895,327.04499961441235,4.23057148403799e-73,3.227659782577236e-72,0.10245329717335519,True
P0627,"Chicken breast strips, 200 g",P0072,"French fries, 180 g",694,1085,5580,0.022274288281927016,0.6396313364055299,3.5715042201410574,1621.743395690954,0.0,0.0,0.2281462064555847,True
P0072,"French fries, 180 g",P0627,"Chicken breast strips, 200 g",694,5580,1085,0.022274288281927016,0.12437275985663082,3.5715042201410574,1621.743395690954,0.0,0.0,0.2281462064555847,True
P0612,"Sour cream, 50 g",P0072,"French fries, 180 g",692,2147,5580,0.022210097249414258,0.3223102002794597,1.7996808082629259,321.7050602610842,6.158929541481517e-72,4.63406353776299e-71,0.101613434108729,True
P0072,"French fries, 180 g",P0612,"Sour cream, 50 g",692,5580,2147,0.022210097249414258,0.12401433691756272,1.7996808082629259,321.7050602610842,6.158929541481517e-72,4.63406353776299e-71,0.101613434108729,True
P0011,Product P0011,P0072,"French fries, 180 g",686,1889,5580,0.022017524151875984,0.36315510852302807,2.027746185708241,463.39451466786204,8.773887987128028e-103,1.018331041910285e-101,0.12195444304591455,True
P0072,"French fries, 180 g",P0011,Product P0011,686,5580,1889,0.022017524151875984,0.12293906810035843,2.027746185708241,463.39451466786204,8.773887987128028e-103,1.018331041910285e-101,0.12195444304591455,True
P0165,"Honey lemonade, 500 ml",P0149,"Beck's draught beer, 0.4 L",672,3686,5044,0.021568186924286678,0.18231144872490504,1.1261454813485066,12.849854259394718,0.0003375055291285665,0.0003946608063014642,0.020308193082460683,True
P0149,"Beck's draught beer, 0.4 L",P0165,"Honey lemonade, 500 ml",672,5044,3686,0.021568186924286678,0.13322759714512292,1.1261454813485066,12.849854259394718,0.0003375055291285665,0.0003946608063014642,0.020308193082460683,True
P0165,"Honey lemonade, 500 ml",P0095,Product P0095,654,3686,3929,0.020990467631671856,0.17742810634834508,1.4070062381001243,99.9320771048777,1.5771412399248272e-23,3.4760830156727e-23,0.05663366141486281,True
P0095,Product P0095,P0165,"Honey lemonade, 500 ml",654,3929,3686,0.020990467631671856,0.16645456859251717,1.4070062381001243,99.9320771048777,1.5771412399248272e-23,3.4760830156727e-23,0.05663366141486281,True
P0612,"Sour cream, 50 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",650,2147,5898,0.02086208556664634,0.30274802049371213,1.5993082527166143,193.38780386744526,5.792687178594943e-44,2.2897904753069144e-43,0.07878376357354998,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0612,"Sour cream, 50 g",650,5898,2147,0.02086208556664634,0.1102068497795863,1.5993082527166143,193.38780386744526,5.792687178594943e-44,2.2897904753069144e-43,0.07878376357354998,True
P0009,"Borsec sparkling mineral water, 750 ml",P0070,"Caru' cu Flori potatoes, 180 g",639,3139,4003,0.02050903488782617,0.2035680152914941,1.5844538227422134,175.7769816119833,4.050754835365923e-40,1.4585391172885222e-39,0.07511093775759053,True
P0070,"Caru' cu Flori potatoes, 180 g",P0009,"Borsec sparkling mineral water, 750 ml",639,4003,3139,0.02050903488782617,0.15963027729203097,1.5844538227422134,175.7769816119833,4.050754835365923e-40,1.4585391172885222e-39,0.07511093775759053,True
P0076,"Grilled pork neck, 150 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",630,2088,5898,0.02022017524151876,0.3017241379310345,1.5938994515966838,184.31916764183833,5.526256373990878e-42,2.1007476320641285e-41,0.07691436043685773,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0076,"Grilled pork neck, 150 g",630,5898,2088,0.02022017524151876,0.10681586978636826,1.5938994515966838,184.31916764183833,5.526256373990878e-42,2.1007476320641285e-41,0.07691436043685773,True
P0570,Product P0570,P0072,"French fries, 180 g",619,1256,5580,0.019867124562698592,0.4928343949044586,2.751835348035523,876.2554386304561,1.424556279610385e-192,3.532252047852114e-191,0.16770173128296648,True
P0072,"French fries, 180 g",P0570,Product P0570,619,5580,1256,0.019867124562698592,0.11093189964157706,2.751835348035523,876.2554386304561,1.424556279610385e-192,3.532252047852114e-191,0.16770173128296648,True
